text,label_raw,source_dataset,label
استفيدوا من عروض جازي عايلة الجديدة لي توالم كامل افراد العائلة 👪 راهي متوفرة في كامل وكالات جازي مع شريحة SIM مجّانية 😱👌🏻 Bénéficiez des nouveaux forfaits DJEZZY 3AYLA qui conviennent à tous les membres de la famille 👪 L'acquisition de la carte SIM est gratuite et disponible dans toutes les boutiques DJEZZY 😱👌🏻 #djezzy #dz #3ayla #family,0,dataset_1,1
Conx ta3koum dayra ki lhaaaam w say,-1,dataset_1,0
@zaki_medjber_62,0,dataset_1,1
ما فهمتش هي sim وحدة يخدمو بها العائلة كاملة,0,dataset_1,1
🙏😉🙏,1,dataset_1,2
@djezzy.dz connection khraaaaa welat,-1,dataset_1,0
2500DA/ trimestre ?,0,dataset_1,1
Barkawna bla 5orti cnx ta3kom dayra kile5ra,-1,dataset_1,0
Le Prix combien,0,dataset_1,1
"Ppppf yaw diro 100 Go b 100da kan bghito, je suis vraiment déçu , cnx = 💩 t9ila grv soit sbah lile l3chia 3 t3 sbah dima makanch w ida kayna t9ila, lcommentaire w bsif maktbto, les offres li dirohom sah haylin bssah tl3bo mn w mn tmdolna des chiffres mktoubin heda makan mch cnx",-1,dataset_1,0
La connexion ta3kom est 💩,-1,dataset_1,0
هل متوفر العرض على شريحة جيزي هايلة بزاف !؟,0,dataset_1,1
Conx ta3kom t3ayii,-1,dataset_1,0
أواه خلونا في جيري هايلة بزاف,1,dataset_1,2
👎👎👎👎👎👎👎👎,-1,dataset_1,0
مفيهاش هدرة,0,dataset_1,1
Cnx dyalkom t3ayi,-1,dataset_1,0
A3dlou le réseau mb3d yer7mha rabbi 😉,-1,dataset_1,0
@riadh_younes,0,dataset_1,1
@anoir.zaza hay lhadra,1,dataset_1,2
Connexion nulle j’ai 100Go net mai taayi t9ila grc,-1,dataset_1,0
Grv,0,dataset_1,1
عندي هايلة ماكسي كونكسيون خردة 👎👎👎,-1,dataset_1,0
@sa_rita1212,0,dataset_1,1
B 2500 da 3and ooredoo ta3tik 120 gb,-1,dataset_1,0
😍🔥 djezzy the best 🔥🔥,1,dataset_1,2
Fiha hadra ?,0,dataset_1,1
@djezzy.dz dans le 2 ème mois ça réduit pour combien de giga octets ??,0,dataset_1,1
Connexion ⤵️⬇️0️⃣,-1,dataset_1,0
جامي جربت جيزي غير هذي مرة وآخر مرة راح نجربها تعييي كونكسيو بزاف تقيلا vive ooredoo,-1,dataset_1,0
ولله ياجزي اكي 1500رجعتهالي5جيقا😒😒😒😒,-1,dataset_1,0
@mohaaissani 👌 لكان ريبونداو عليك قولي هههه بيسك راهم ميحلبوش زعمة كخخخ,0,dataset_1,1
Conx merdique,-1,dataset_1,0
Wch fiha kml bla la connx 4G,0,dataset_1,1
cnx dyalkom ki zbl 7acha l3ibad li chafo l cmntr,-1,dataset_1,0
Conx ki zabi jaya,-1,dataset_1,0
